"order_id"	"customer_id"	"status"	"salesman_id"	"order_date"
"78"	"2"	"Pending"	"64"	"2014/15/12"
"79"	"2"	"Shipped"	"64"	"2014/16/12"
"80"	"3"	"Shipped"	"64"	"2013/16/12"
"81"	"49"	"Shipped"	"62"	"2013/16/12"
"82"	"44"	"Shipped"	"60"	"2003/16/12"
"83"	"16"	"Shipped"	"62"	"2002/16/12"
"84"	"3"	"Shipped"	"64"	"2001/15/12"
"85"	"4"	"Pending"	"55"	"2001/16/12"
"86"	"5"	"Pending"	"60"	"2030/16/11"
"87"	"7"	"Canceled"	"57"	"2001/16/12"
"88"	"6"	"Shipped"	"61"	"2001/17/11"
"89"	"7"	"Shipped"	"55"	"2027/15/10"
"90"	"8"	"Pending"	"55"	"2028/15/10"
"91"	"9"	"Pending"	"56"	"2028/16/10"
"92"	"44"	"Shipped"	"59"	"2028/15/10"
"93"	"17"	"Shipped"	"62"	"2027/16/10"
"94"	"1"	"Shipped"	"62"	"2027/17/10"
"95"	"45"	"Shipped"	"59"	"2019/16/9"
"96"	"46"	"Shipped"	"56"	"2014/16/9"
"97"	"47"	"Canceled"	"60"	"2012/16/7"
"98"	"48"	"Shipped"	"55"	"2018/17/3"
"99"	"49"	"Shipped"	"60"	"2007/17/9"
"100"	"16"	"Pending"	"54"	"2005/17/9"
"101"	"3"	"Pending"	"55"	"2003/17/9"
"102"	"45"	"Shipped"	"61"	"2020/16/12"
"103"	"17"	"Pending"	"64"	"2008/16/2"
"104"	"18"	"Shipped"	"60"	"2001/17/2"
"105"	"1"	"Pending"	"54"	"2017/16/11"
